0 qid:1 89:0.498927 19:0.803835 3:0.581992 479:0.205259 2498:0.000000 1:0.110755 1718:0.002827
0 qid:2 89:0.989263 19:0.070680 3:0.775125 479:0.020126 2498:0.000519 1:0.632420 1718:0.000000
0 qid:2 89:0.989263 19:0.070680 3:0.775125 479:0.020126 2498:0.000519 1:0.632420 1718:0.000000
0 qid:3 89:0.107830 19:0.710577 3:0.725072 479:0.001918 2498:0.000000 1:0.000000 1718:0.000000
1 qid:3 89:1.000000 19:1.000000 3:1.000000 479:1.000000 2498:1.000000 1:1.000000 1718:1.000000
0 qid:3 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:3 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:3 89:0.000000 19:0.709486 3:0.393092 479:0.000723 2498:0.989363 1:0.268983 1718:0.362425
0 qid:3 89:0.170007 19:0.711678 3:0.362970 479:0.000000 2498:0.995623 1:0.454537 1718:0.487383
0 qid:3 89:0.123468 19:0.707453 3:0.000000 479:0.005961 2498:0.999969 1:0.755712 1718:0.612661
0 qid:3 89:0.035216 19:0.709918 3:0.294668 479:0.002852 2498:0.998325 1:0.455100 1718:0.475156
0 qid:3 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:3 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:3 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:3 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:3 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:3 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:3 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:3 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:3 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:3 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:4 89:0.107830 19:0.710577 3:0.725072 479:0.001918 2498:0.000000 1:0.000000 1718:0.000000
1 qid:4 89:1.000000 19:1.000000 3:1.000000 479:1.000000 2498:1.000000 1:1.000000 1718:1.000000
0 qid:4 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:4 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:4 89:0.000000 19:0.709486 3:0.393092 479:0.000723 2498:0.989363 1:0.268983 1718:0.362425
0 qid:4 89:0.170007 19:0.711678 3:0.362970 479:0.000000 2498:0.995623 1:0.454537 1718:0.487383
0 qid:4 89:0.123468 19:0.707453 3:0.000000 479:0.005961 2498:0.999969 1:0.755712 1718:0.612661
0 qid:4 89:0.035216 19:0.709918 3:0.294668 479:0.002852 2498:0.998325 1:0.455100 1718:0.475156
0 qid:4 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:4 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:4 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:4 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:4 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:4 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:4 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:4 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:4 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:4 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:5 89:0.107830 19:0.710577 3:0.725072 479:0.001918 2498:0.000000 1:0.000000 1718:0.000000
1 qid:5 89:1.000000 19:1.000000 3:1.000000 479:1.000000 2498:1.000000 1:1.000000 1718:1.000000
0 qid:5 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:5 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:5 89:0.000000 19:0.709486 3:0.393092 479:0.000723 2498:0.989363 1:0.268983 1718:0.362425
0 qid:5 89:0.170007 19:0.711678 3:0.362970 479:0.000000 2498:0.995623 1:0.454537 1718:0.487383
0 qid:5 89:0.123468 19:0.707453 3:0.000000 479:0.005961 2498:0.999969 1:0.755712 1718:0.612661
0 qid:5 89:0.035216 19:0.709918 3:0.294668 479:0.002852 2498:0.998325 1:0.455100 1718:0.475156
0 qid:5 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:5 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:5 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:5 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:5 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:5 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:5 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:5 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:5 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:5 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:6 89:0.107830 19:0.710577 3:0.725072 479:0.001918 2498:0.000000 1:0.000000 1718:0.000000
1 qid:6 89:1.000000 19:1.000000 3:1.000000 479:1.000000 2498:1.000000 1:1.000000 1718:1.000000
0 qid:6 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:6 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:6 89:0.000000 19:0.709486 3:0.393092 479:0.000723 2498:0.989363 1:0.268983 1718:0.362425
0 qid:6 89:0.170007 19:0.711678 3:0.362970 479:0.000000 2498:0.995623 1:0.454537 1718:0.487383
0 qid:6 89:0.123468 19:0.707453 3:0.000000 479:0.005961 2498:0.999969 1:0.755712 1718:0.612661
0 qid:6 89:0.035216 19:0.709918 3:0.294668 479:0.002852 2498:0.998325 1:0.455100 1718:0.475156
0 qid:6 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:6 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:6 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:6 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:6 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:6 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:6 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:6 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:6 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:6 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:7 89:0.013974 19:0.003079 3:0.677559 479:0.000000 2498:0.151856 1:0.000000 1718:0.005557
1 qid:7 89:1.000000 19:0.892042 3:0.999868 479:1.000000 2498:0.158143 1:1.000000 1718:0.039308
0 qid:7 89:0.959751 19:1.000000 3:1.000000 479:0.469308 2498:1.000000 1:0.962561 1718:1.000000
0 qid:7 89:0.941290 19:0.305625 3:0.998783 479:0.735000 2498:0.000000 1:0.982404 1718:0.000000
0 qid:7 89:0.000000 19:0.003615 3:0.315906 479:0.016487 2498:0.144344 1:0.369282 1718:0.004426
0 qid:7 89:0.317097 19:0.006262 3:0.265315 479:0.016596 2498:0.144469 1:0.483896 1718:0.005455
0 qid:7 89:0.160968 19:0.000000 3:0.000000 479:0.019675 2498:0.145017 1:0.787350 1718:0.004811
0 qid:7 89:0.060433 19:0.004081 3:0.235191 479:0.017858 2498:0.144836 1:0.505522 1718:0.004660
0 qid:7 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.145016 1:0.917902 1718:0.004914
0 qid:7 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.145016 1:0.917902 1718:0.004914
0 qid:7 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.145016 1:0.917902 1718:0.004914
0 qid:7 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.145016 1:0.917902 1718:0.004914
0 qid:7 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.145016 1:0.917902 1718:0.004914
0 qid:7 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.145016 1:0.917902 1718:0.004914
0 qid:7 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.145016 1:0.917902 1718:0.004914
0 qid:7 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.145016 1:0.917902 1718:0.004914
0 qid:7 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.145016 1:0.917902 1718:0.004914
0 qid:7 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.145016 1:0.917902 1718:0.004914
0 qid:8 89:0.107830 19:0.710577 3:0.725072 479:0.001918 2498:0.000000 1:0.000000 1718:0.000000
1 qid:8 89:1.000000 19:1.000000 3:1.000000 479:1.000000 2498:1.000000 1:1.000000 1718:1.000000
0 qid:8 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:8 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:8 89:0.000000 19:0.709486 3:0.393092 479:0.000723 2498:0.989363 1:0.268983 1718:0.362425
0 qid:8 89:0.170007 19:0.711678 3:0.362970 479:0.000000 2498:0.995623 1:0.454537 1718:0.487383
0 qid:8 89:0.123468 19:0.707453 3:0.000000 479:0.005961 2498:0.999969 1:0.755712 1718:0.612661
0 qid:8 89:0.035216 19:0.709918 3:0.294668 479:0.002852 2498:0.998325 1:0.455100 1718:0.475156
0 qid:8 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:8 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:8 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:8 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:8 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:8 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:8 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:8 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:8 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:8 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:9 89:0.107830 19:0.710577 3:0.725072 479:0.001918 2498:0.000000 1:0.000000 1718:0.000000
1 qid:9 89:1.000000 19:1.000000 3:1.000000 479:1.000000 2498:1.000000 1:1.000000 1718:1.000000
0 qid:9 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:9 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:9 89:0.000000 19:0.709486 3:0.393092 479:0.000723 2498:0.989363 1:0.268983 1718:0.362425
0 qid:9 89:0.170007 19:0.711678 3:0.362970 479:0.000000 2498:0.995623 1:0.454537 1718:0.487383
0 qid:9 89:0.123468 19:0.707453 3:0.000000 479:0.005961 2498:0.999969 1:0.755712 1718:0.612661
0 qid:9 89:0.035216 19:0.709918 3:0.294668 479:0.002852 2498:0.998325 1:0.455100 1718:0.475156
0 qid:9 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:9 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:9 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:9 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:9 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:9 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:9 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:9 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:9 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:9 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:10 89:0.107830 19:0.710577 3:0.725072 479:0.001918 2498:0.000000 1:0.000000 1718:0.000000
1 qid:10 89:1.000000 19:1.000000 3:1.000000 479:1.000000 2498:1.000000 1:1.000000 1718:1.000000
0 qid:10 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:10 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:10 89:0.000000 19:0.709486 3:0.393092 479:0.000723 2498:0.989363 1:0.268983 1718:0.362425
0 qid:10 89:0.170007 19:0.711678 3:0.362970 479:0.000000 2498:0.995623 1:0.454537 1718:0.487383
0 qid:10 89:0.123468 19:0.707453 3:0.000000 479:0.005961 2498:0.999969 1:0.755712 1718:0.612661
0 qid:10 89:0.035216 19:0.709918 3:0.294668 479:0.002852 2498:0.998325 1:0.455100 1718:0.475156
0 qid:10 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:10 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:10 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:10 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:10 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:10 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:10 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:10 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:10 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:10 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:11 89:0.013974 19:0.003079 3:0.677559 479:0.000000 2498:0.008779 1:0.000000 1718:0.001136
0 qid:11 89:1.000000 19:0.892042 3:0.999868 479:1.000000 2498:0.016126 1:1.000000 1718:0.035037
1 qid:11 89:0.959751 19:1.000000 3:1.000000 479:0.469308 2498:1.000000 1:0.962561 1718:1.000000
0 qid:11 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.000785 1:0.917902 1718:0.000490
0 qid:11 89:0.000000 19:0.003615 3:0.315906 479:0.016487 2498:0.000000 1:0.369282 1718:0.000000
0 qid:11 89:0.317097 19:0.006262 3:0.265315 479:0.016596 2498:0.000146 1:0.483896 1718:0.001034
0 qid:11 89:0.160968 19:0.000000 3:0.000000 479:0.019675 2498:0.000786 1:0.787350 1718:0.000386
0 qid:11 89:0.060433 19:0.004081 3:0.235191 479:0.017858 2498:0.000575 1:0.505522 1718:0.000235
0 qid:11 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.000785 1:0.917902 1718:0.000490
0 qid:11 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.000785 1:0.917902 1718:0.000490
0 qid:11 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.000785 1:0.917902 1718:0.000490
0 qid:11 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.000785 1:0.917902 1718:0.000490
0 qid:11 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.000785 1:0.917902 1718:0.000490
0 qid:11 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.000785 1:0.917902 1718:0.000490
0 qid:11 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.000785 1:0.917902 1718:0.000490
0 qid:11 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.000785 1:0.917902 1718:0.000490
0 qid:11 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.000785 1:0.917902 1718:0.000490
0 qid:11 89:0.957376 19:0.305625 3:0.876771 479:0.020000 2498:0.000785 1:0.917902 1718:0.000490
0 qid:12 89:0.107830 19:0.710577 3:0.725072 479:0.001918 2498:0.000000 1:0.000000 1718:0.000000
1 qid:12 89:1.000000 19:1.000000 3:1.000000 479:1.000000 2498:1.000000 1:1.000000 1718:1.000000
0 qid:12 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:12 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:12 89:0.000000 19:0.709486 3:0.393092 479:0.000723 2498:0.989363 1:0.268983 1718:0.362425
0 qid:12 89:0.170007 19:0.711678 3:0.362970 479:0.000000 2498:0.995623 1:0.454537 1718:0.487383
0 qid:12 89:0.123468 19:0.707453 3:0.000000 479:0.005961 2498:0.999969 1:0.755712 1718:0.612661
0 qid:12 89:0.035216 19:0.709918 3:0.294668 479:0.002852 2498:0.998325 1:0.455100 1718:0.475156
0 qid:12 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:12 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:12 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:12 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:12 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:12 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:12 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:12 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:12 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:12 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:13 89:0.107830 19:0.710577 3:0.725072 479:0.001918 2498:0.000000 1:0.000000 1718:0.000000
1 qid:13 89:1.000000 19:1.000000 3:1.000000 479:1.000000 2498:1.000000 1:1.000000 1718:1.000000
0 qid:13 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:13 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:13 89:0.000000 19:0.709486 3:0.393092 479:0.000723 2498:0.989363 1:0.268983 1718:0.362425
0 qid:13 89:0.170007 19:0.711678 3:0.362970 479:0.000000 2498:0.995623 1:0.454537 1718:0.487383
0 qid:13 89:0.123468 19:0.707453 3:0.000000 479:0.005961 2498:0.999969 1:0.755712 1718:0.612661
0 qid:13 89:0.035216 19:0.709918 3:0.294668 479:0.002852 2498:0.998325 1:0.455100 1718:0.475156
0 qid:13 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:13 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:13 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:13 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:13 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:13 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:13 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:13 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:13 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:13 89:0.761866 19:0.000000 3:0.961388 479:0.006971 2498:0.999987 1:0.971790 1718:0.696523
0 qid:14 89:0.107830 19:0.710577 3:0.725072 479:0.396715 2498:0.000000 1:0.000000 1718:0.439126
1 qid:14 89:1.000000 19:1.000000 3:1.000000 479:1.000000 2498:1.000000 1:1.000000 1718:1.000000
0 qid:14 89:0.761866 19:0.000000 3:0.961388 479:0.399769 2498:0.999987 1:0.971790 1718:0.829787
0 qid:14 89:0.607376 19:0.000000 3:0.999821 479:0.000000 2498:0.909184 1:0.957327 1718:0.000000
0 qid:14 89:0.000000 19:0.709486 3:0.393092 479:0.395993 2498:0.989363 1:0.268983 1718:0.642401
0 qid:14 89:0.170007 19:0.711678 3:0.362970 479:0.395556 2498:0.995623 1:0.454537 1718:0.712486
